"","ds","dep_var","trend","season","holiday","competitor_sales_B","events","tv_S","ooh_S","print_S","facebook_S","search_S","newsletter","intercept","depVarHat","solID","cluster","top_sol"
"1",2016-01-04,2171506.66666667,110990.304535801,9646.34257842131,0,29867.2042008277,0,3081.89556103822,12809.5337031059,1529.64861033329,8532.69629623331,9588.60443339375,8736.8632331162,1645559.49085663,1840342.5840089,"1_51_1",1,FALSE
"2",2016-01-11,2464131.66666667,111067.42390489,7088.52492186541,0,31913.3723081574,0,1803.39305811399,9844.6869073421,8095.11860929261,9517.7807357087,10241.5544255734,6483.88667087993,1645559.49085663,1841615.23239845,"1_51_1",1,FALSE
"3",2016-01-18,2012520,111144.543275314,4693.3012734963,0,28707.5150889265,0,918.778280698454,7143.08254008898,954.863011891883,8459.05600453744,8815.06944153342,6091.75635278706,1645559.49085663,1822487.4561259,"1_51_1",1,FALSE
"4",2016-01-25,1738911.66666667,111221.662645737,3365.34283201018,0,23704.9067284715,0,463.782113413298,4931.63053278748,3550.93167220359,7006.11922651171,8633.36573242986,4236.98190851351,1645559.49085663,1812674.21424871,"1_51_1",1,FALSE
"5",2016-02-01,1772306.66666667,111298.782016161,2778.76628596409,0,23468.1057848607,0,768.770663006997,7664.93710931854,253.122164251432,70.6146476581403,8169.27550807512,2169.77396801305,1645559.49085663,1802201.63900394,"1_51_1",1,FALSE
"6",2016-02-08,1809058.33333333,111375.901386584,2117.1814083505,0,25148.6362083356,0,387.456150329594,5341.94038063906,848.556466815597,8051.27062770385,8033.9954600106,1922.04822866546,1645559.49085663,1808786.47717406,"1_51_1",1,FALSE
"7",2016-02-15,1952740,111453.020757008,989.776106493817,0,24936.2408017915,0,4884.33163592384,3572.65407832331,410.074335393468,3145.44077117185,1910.21459053918,4392.29485268469,1645559.49085663,1801253.53878596,"1_51_1",1,FALSE
"8",2016-02-22,1507805,111530.140127431,-474.283246876525,0,21528.2745595985,0,2571.65939256249,2318.08312341826,22.9539299225722,26.9636608057725,381.024559904871,5326.36656435333,1645559.49085663,1788790.67352775,"1_51_1",1,FALSE
"9",2016-02-29,1510391.66666667,111607.259481429,-2073.37704779795,0,19534.3563132532,0,5418.86443123489,1472.9076024781,1.25171574860091,5310.89620957538,6793.4976227586,556.362237088457,1645559.49085663,1794181.5094224,"1_51_1",1,FALSE
"10",2016-03-07,1588840,111684.378835427,-3698.50663278502,0,21395.896254316,0,2869.75007065998,923.002358890533,5179.55553830156,49.6932898597362,8089.52038199772,868.470921756993,1645559.49085663,1792921.25187505,"1_51_1",1,FALSE
"11",2016-03-14,1605990,111761.498189424,-5121.46601850831,0,21149.3099707864,0,3136.6943338442,7426.08801899178,430.225792008856,0.380388604187048,7522.97347080569,538.47661581649,1645559.49085663,1792403.6716184,"1_51_1",1,FALSE
"12",2016-03-21,1356010,111838.617543422,-6028.33417677471,139.287643335849,19358.1987825922,0,1620.75793520391,5153.18605711323,24.1151352490538,0.00290681492649383,7323.33709867266,737.009847622985,1645559.49085663,1785725.66962988,"1_51_1",1,FALSE
"13",2016-03-28,2103936.66666667,111915.73689742,-6492.7197138416,7242.11886586555,19300.535937075,0,824.149661584399,8799.95644574079,4056.63209692635,13532.12498692,7690.77715437787,1263.84076333215,1645559.49085663,1813692.64395203,"1_51_1",1,FALSE
"14",2016-04-04,1120835,111992.856251417,-7182.15057657305,0,16009.8610187491,0,415.606031022374,6261.6956349298,302.489639099926,223.444802291133,6671.49739162736,1336.07361176133,1645559.49085663,1781590.86466095,"1_51_1",1,FALSE
"15",2016-04-11,1141140,112069.975605415,-8702.68273587687,0,16140.1409360402,0,208.697223602604,8973.47551430389,16.8082306030802,1.72074679884702,6471.1865130708,356.690615687449,1645559.49085663,1781095.50350627,"1_51_1",1,FALSE
